QUERY_ID;RESPONSE
1;(1, 436, 0.20297033125333877)
1;(2, 497, 0.17443144794568655)
1;(3, 483, 0.16370141702871233)
1;(4, 532, 0.12856409843073538)
1;(5, 525, 0.1272827680711054)
1;(6, 826, 0.1271355346022899)
1;(7, 855, 0.11680040796026413)
1;(8, 956, 0.11242775071336432)
1;(9, 740, 0.11114495526258888)
1;(10, 1187, 0.10650357574932244)
1;(11, 440, 0.10624958619652113)
1;(12, 924, 0.10434289196841459)
1;(13, 480, 0.10003287194585402)
1;(14, 753, 0.09940902395527788)
1;(15, 51, 0.09924726035142657)
1;(16, 591, 0.099008095975026)
1;(17, 567, 0.09853729915235761)
1;(18, 26, 0.09824272487354105)
1;(19, 52, 0.0953173268934759)
1;(20, 310, 0.09498005202971807)
1;(21, 391, 0.09291073626734625)
1;(22, 846, 0.0908838436433727)
1;(23, 150, 0.09074564676812559)
1;(24, 438, 0.08878025207810844)
1;(25, 974, 0.08758966457397901)
1;(26, 498, 0.08723381786788767)
1;(27, 1025, 0.08398362110967908)
1;(28, 1063, 0.08170024120456766)
1;(29, 1179, 0.07911587913935342)
1;(30, 966, 0.07608192813476809)
1;(31, 39, 0.07556717365268158)
1;(32, 822, 0.07224877155545861)
1;(33, 979, 0.07219724160741516)
1;(34, 462, 0.07031389172987333)
1;(35, 949, 0.06908529571396814)
1;(36, 460, 0.06836568504989902)
1;(37, 301, 0.06832973228126908)
1;(38, 710, 0.06733371468590889)
1;(39, 700, 0.06692016015419712)
1;(40, 741, 0.06642968383690342)
1;(41, 397, 0.0650199687451557)
1;(42, 170, 0.06415312255525188)
1;(43, 874, 0.062458770188668744)
1;(44, 788, 0.05924925070321591)
1;(45, 264, 0.05757447103207323)
1;(46, 908, 0.05728986531993821)
1;(47, 989, 0.056897502740509844)
1;(48, 521, 0.05531653142472582)
1;(49, 188, 0.055156065204829664)
1;(50, 1192, 0.054175468085256445)
1;(51, 276, 0.05406386184517068)
1;(52, 138, 0.053188910253052064)
1;(53, 866, 0.052721436064768465)
1;(54, 95, 0.05255618909540249)
1;(55, 1106, 0.05244164771730848)
1;(56, 265, 0.05198248426799994)
1;(57, 845, 0.0519533047939419)
1;(58, 156, 0.05173865965620465)
1;(59, 1237, 0.0515819184072985)
1;(60, 500, 0.051534455638224695)
1;(61, 563, 0.051531675245296976)
1;(62, 957, 0.051394076081695876)
1;(63, 526, 0.05084078646319989)
1;(64, 27, 0.0501094281347136)
1;(65, 510, 0.04968250821209217)
1;(66, 860, 0.0475000768119718)
1;(67, 504, 0.04651663104736783)
1;(68, 372, 0.043988438565488314)
1;(69, 443, 0.043720565430707015)
1;(70, 323, 0.04360202486917329)
1;(71, 320, 0.04340887788174834)
1;(72, 10, 0.04328778866948686)
1;(73, 775, 0.04291485591400431)
1;(74, 108, 0.04205936236343616)
1;(75, 245, 0.04119726526286203)
1;(76, 399, 0.03989403183024921)
1;(77, 530, 0.03985997624354087)
1;(78, 1091, 0.03936853381403725)
1;(79, 1054, 0.038976469316724875)
1;(80, 959, 0.038973052383166194)
1;(81, 269, 0.03874110397464878)
1;(82, 286, 0.03857232227212143)
1;(83, 1101, 0.03785393805021224)
1;(84, 972, 0.037795893615306886)
1;(85, 42, 0.03755013852231911)
1;(86, 1035, 0.037507919300871946)
1;(87, 299, 0.0369358551153962)
1;(88, 635, 0.036034678406437017)
1;(89, 1233, 0.035537230953700226)
1;(90, 942, 0.035331055332760354)
1;(91, 59, 0.0350955089892637)
1;(92, 853, 0.03476896243685208)
1;(93, 809, 0.034664917504118424)
1;(94, 132, 0.03405774312668029)
1;(95, 1058, 0.03398578904981036)
1;(96, 496, 0.033857690954710425)
1;(97, 595, 0.033765090526237794)
1;(98, 849, 0.0337297339542706)
1;(99, 238, 0.0336987346637061)
1;(100, 729, 0.033654691808795226)
1;(101, 509, 0.03361741852520795)
1;(102, 434, 0.03350635078708975)
1;(103, 1028, 0.0321410104376184)
1;(104, 1144, 0.03170039673851411)
1;(105, 839, 0.03166450190822915)
1;(106, 100, 0.031359233995171036)
1;(107, 121, 0.031221957229063346)
1;(108, 528, 0.031187808003876327)
1;(109, 1214, 0.031123009257173248)
1;(110, 569, 0.030078147518791485)
1;(111, 477, 0.0299210347508916)
1;(112, 877, 0.029695524322317087)
1;(113, 66, 0.02904460572140015)
1;(114, 689, 0.028583208685649352)
1;(115, 732, 0.02828889003829717)
1;(116, 1198, 0.02789886400117207)
1;(117, 767, 0.026889719525972574)
1;(118, 616, 0.026817296176527602)
1;(119, 580, 0.02658005048101457)
1;(120, 429, 0.025937521391411082)
1;(121, 637, 0.025512822759560957)
1;(122, 165, 0.025398159496136597)
1;(123, 466, 0.024784604569379143)
1;(124, 385, 0.02477861281240114)
1;(125, 1041, 0.024724741160034317)
1;(126, 502, 0.024509717816195903)
1;(127, 633, 0.0244970203000126)
1;(128, 1201, 0.024435989252881922)
1;(129, 1148, 0.02418435306066283)
1;(130, 581, 0.023895644457230913)
