QUERY_ID;RESPONSE
1;(0, -0.017407181519846358)
1;(1, 0.0)
1;(2, -0.009995859876008657)
1;(3, -0.009295018496419886)
1;(4, -0.004953304789191545)
1;(5, -0.019240413236543224)
1;(6, -0.026057450842421295)
1;(7, -0.006539611684241623)
1;(8, 0.0)
1;(9, 0.0)
1;(10, 0.04328778866948686)
1;(11, 0.0)
1;(12, -0.0055089117283560005)
1;(13, 0.0)
1;(14, -0.005807336728514023)
1;(15, 0.0)
1;(16, 0.0)
1;(17, -0.0030003498823191247)
1;(18, -0.03619941832781995)
1;(19, 0.0)
1;(20, -0.006554725622535812)
1;(21, -0.0036140264953160475)
1;(22, -0.020468302611587347)
1;(23, -0.02869446766795542)
1;(24, 0.0)
1;(25, -0.019410393600193955)
1;(26, 0.09824272487354105)
1;(27, 0.0501094281347136)
1;(28, 0.0)
1;(29, -0.017376751603061368)
1;(30, -0.013070913975515455)
1;(31, 0.0)
1;(32, 0.0)
1;(33, 0.0)
1;(34, 0.0)
1;(35, 0)
1;(36, 0.0)
1;(37, 0.0)
1;(38, 0.0)
1;(39, 0.07556717365268158)
1;(40, 0.02020275762714405)
1;(41, -0.00849026426514134)
1;(42, 0.03755013852231911)
1;(43, 0.0)
1;(44, 0.0)
1;(45, 0.0)
1;(46, 0.01471490415760972)
1;(47, 0.0)
1;(48, -0.005050555223587269)
1;(49, 0.0)
1;(50, -0.02965709605276137)
1;(51, 0.09924726035142657)
1;(52, 0.0953173268934759)
1;(53, 0.0)
1;(54, -0.037838493506470484)
1;(55, 0.0)
1;(56, 0.0)
1;(57, 0.0)
1;(58, -0.015438346653872819)
1;(59, 0.0350955089892637)
1;(60, 0.013889327719208948)
1;(61, -0.04708612250047861)
1;(62, -0.037485405863886774)
1;(63, -0.0088056438241578)
1;(64, -0.008421927885329205)
1;(65, 0.0)
1;(66, 0.02904460572140015)
1;(67, -0.006979515269719973)
1;(68, 0.0)
1;(69, 0.0)
1;(70, 0.0)
1;(71, -0.004943931058879314)
1;(72, 0.0)
1;(73, -0.008472596345721799)
1;(74, 0.0)
1;(75, 0.0)
1;(76, -0.002961421779390008)
1;(77, 0.0)
1;(78, 0.0)
1;(79, -0.020759137911219847)
1;(80, 0.0)
1;(81, -0.018107372208524722)
1;(82, -0.0039137850922833835)
1;(83, -0.0061231012353318)
1;(84, -0.004993898739932202)
1;(85, 0.0)
1;(86, 0.0)
1;(87, -0.02503100865784485)
1;(88, -0.01556552732632)
1;(89, -0.005655815086955136)
1;(90, 0.0)
1;(91, -0.006554654253392507)
1;(92, -0.003629290827400706)
1;(93, 0.0)
1;(94, -0.004249008475271915)
1;(95, 0.05255618909540249)
1;(96, 0.0)
1;(97, -0.00339865925730097)
1;(98, 0.0)
1;(99, -0.02001101419519077)
1;(100, 0.031359233995171036)
1;(101, -0.025153287003402372)
1;(102, 0.0)
1;(103, -0.003025347613520537)
1;(104, 0.0)
1;(105, 0.016812222064120683)
1;(106, 0.005937336208139263)
1;(107, -0.005922242662805685)
1;(108, 0.04205936236343616)
1;(109, -0.005196136902922578)
1;(110, -0.004350627525203016)
1;(111, 0.0)
1;(112, -0.010042190587429847)
1;(113, 0.0)
1;(114, 0.0)
1;(115, 0.0)
1;(116, 0.0)
1;(117, -0.03289038638388572)
1;(118, -0.012392008675392587)
1;(119, 0.0)
1;(120, 0.0)
1;(121, 0.031221957229063346)
1;(122, -0.0034756516828632756)
1;(123, -0.00551632341908147)
1;(124, -0.008827606632746683)
1;(125, 0.0)
1;(126, 0.0)
1;(127, 0)
1;(128, 0.0)
1;(129, -0.01553825196894141)
1;(130, 0.0)
1;(131, 0)
1;(132, 0.03405774312668029)
1;(133, -0.003883815063324783)
1;(134, 0.0)
1;(135, 0.0)
1;(136, -0.00525393956151048)
1;(137, 0.0)
1;(138, 0.053188910253052064)
1;(139, -0.009821672104501859)
1;(140, -0.01681985599212683)
1;(141, 0.0)
1;(142, -0.006293413897527171)
1;(143, -0.031509528735355535)
1;(144, 0.0)
1;(145, -0.005364300095162709)
1;(146, 0.0208811513257211)
1;(147, -0.005833378319250837)
1;(148, -0.007333139270198741)
1;(149, -0.01562165722394843)
1;(150, 0.09074564676812559)
1;(151, 0.0)
1;(152, 0.0)
1;(153, -0.006969021518674954)
1;(154, -0.004847391117308741)
1;(155, -0.0073014228940667)
1;(156, 0.05173865965620465)
1;(157, 0.0)
1;(158, 0.003148568833902366)
1;(159, -0.018972325231856796)
1;(160, -0.003962042884231249)
1;(161, 0.0)
1;(162, -0.0016552826441433108)
1;(163, -0.03295534381516018)
1;(164, 0.0)
1;(165, 0.025398159496136597)
1;(166, -0.008595515711758709)
1;(167, 0)
1;(168, -0.006698691915252687)
1;(169, -0.00964909679250882)
1;(170, 0.06415312255525188)
1;(171, -0.02404303990949385)
1;(172, -0.007546322747150423)
1;(173, -0.01742717310062009)
1;(174, 0.0)
1;(175, -0.0036450924910640847)
1;(176, -0.035805640610904965)
1;(177, -0.007529200837676297)
1;(178, 0.009659619237286483)
1;(179, 0.0)
1;(180, -0.025952700457388105)
